work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,data_confidence,fraud_reason,queue_type
WS/MP18225/2025-2026/151098,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150464,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150834,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150828,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150475,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150836,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150482,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150513,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150536,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150540,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150539,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150510,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150555,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150557,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150554,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150512,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150546,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150552,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150551,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150547,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150543,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150519,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150520,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150525,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150542,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150545,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150518,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150538,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150541,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150818,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150561,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150558,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150457,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150465,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150468,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150467,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/151082,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/151079,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150837,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150835,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150490,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150823,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150492,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150491,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150483,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150486,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150493,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150832,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150453,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150452,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150460,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150458,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150440,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP761/2024-2025/146642,Arvind Dharmapuri,Telangana,Inspect,District Authority,97.4,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18225/2025-2026/150446,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150474,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP761/2024-2025/146750,Arvind Dharmapuri,Telangana,Inspect,District Authority,97.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP458/2026-2027/150074,Kanimozhi Karunanidhi,Tamil Nadu,Investigate,Auditor,96.9,67,"100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Cost is unusually higher than comparable works (state+category baseline, z=4.0)",reactive
WS/MP761/2024-2025/146630,Arvind Dharmapuri,Telangana,Inspect,District Authority,96.7,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/146426,Arvind Dharmapuri,Telangana,Inspect,District Authority,96.6,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18225/2025-2026/150448,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150441,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150436,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150439,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150527,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150528,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150535,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150494,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150484,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150487,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150824,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150489,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150833,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150827,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150476,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150477,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150478,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150479,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150488,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150829,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,96.3,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
